material_id,formula,Family,spacegroup_no,e_above_hull,band_gap,pred_log10_sigma,pred_sigma_S_cm
mp-696128,Li10Ge(PS6)2,LGPS,105,0.0298671299000004,2.0551,-2.173590623112077,0.006705163571804389
mp-696129,Li10Si(PS6)2,LGPS,105,0.01784785039999992,2.3830999999999998,-2.4968275693396675,0.003185462014635068
mp-696123,Li10Sn(PS6)2,LGPS,105,0.0350227293000005,2.0004,-2.6751588698572992,0.0021127160429199173
mp-1040451,Li20Si3P3S23Cl,LGPS,6,0.035331716299999094,2.3935999999999997,-4.552291088463881,2.803553909362029e-05
mp-1097034,Li20Si3P3S23Cl,LGPS,6,0.03550452449999941,2.3724,-4.579067802757405,2.6359198296298628e-05
mp-1097035,Li20Si3P3S23Cl,LGPS,6,0.030538372299998784,2.3076,-4.6333467291635975,2.3262333132895617e-05
mp-696138,Li10Ge(PS6)2,LGPS,1,0.018760533900000098,2.3653,-4.755297436171773,1.756720073312671e-05
mp-753546,Li8TiS6,unknown,185,0.0034980028333322366,2.2894,-4.768583141298061,1.7037931140857547e-05
mp-720509,Li10Si(PS6)2,LGPS,1,0.006719742999999667,2.5638,-4.847481032943927,1.420754260476288e-05
mp-1220972,NaLiZnS2,unknown,156,0.0,1.8297999999999999,-4.880318817938103,1.3172893542487989e-05
mp-721236,Li10Sn(PS6)2,LGPS,1,0.023375087500000724,2.339,-4.888870798856677,1.291603464136512e-05
mp-1222297,LiTbS2,unknown,166,0.0,2.3395,-4.899209792479606,1.2612181370282193e-05
mp-15790,LiHoS2,unknown,166,0.0,1.9863000000000004,-4.932118593980547,1.1691800762264775e-05
mp-15791,LiErS2,unknown,166,0.0,1.9964000000000004,-4.932118593980547,1.1691800762264775e-05
mp-15789,LiDyS2,unknown,166,0.0,1.9346999999999999,-4.932761148296283,1.1674515112785997e-05
mp-1222296,LiSmS2,unknown,166,0.0,2.2194999999999996,-4.993882457697018,1.0141858391628267e-05
mp-1177520,Li3SbS3,unknown,160,0.03522362928571354,2.7451999999999996,-4.9968104763485215,1.007371184021475e-05
mp-34477,LiSmS2,unknown,141,0.004678905000000455,1.9213999999999998,-5.256569523278574,5.538988669019124e-06
mp-1222404,LiBiS2,unknown,166,0.0,1.7886000000000006,-5.275838362935453,5.298606123607834e-06
mp-15788,LiYS2,unknown,166,0.0,1.9203999999999994,-5.306454793484848,4.937933154333029e-06
mp-557964,Li9S3N,unknown,221,0.007899086153846824,2.4272,-5.3188192493101525,4.799331522996033e-06
mp-861182,Li4TiS4,unknown,121,0.011638242500000118,2.4707,-5.3604300708564265,4.360837755993029e-06
mp-1222303,LiNdS2,unknown,166,0.013438600312502658,2.1019,-5.394787967118666,4.029136983509826e-06
mp-774907,KLiZnS2,unknown,119,0.0,2.4361,-5.449162204018015,3.5549851914316594e-06
mp-1219554,RbLiZnS2,unknown,119,0.0,2.4519,-5.454583320369474,3.510885609274742e-06
mp-755463,Li3SbS3,unknown,148,0.03847656642857089,2.0987999999999998,-5.458668134396515,3.4780183227405683e-06
mp-8452,NaLiS,unknown,129,0.0,2.2642,-5.465329793915392,3.425075948450731e-06
mp-1147554,LiLaSO,unknown,129,0.008456593750000074,3.1807,-5.474618538666974,3.3525978435608123e-06
mp-753677,Li3BiS3,unknown,161,0.04869412214285607,2.558,-5.474885398470725,3.3505384142512826e-06
mp-33667,LiDyS2,unknown,141,0.0052540974999999435,1.9741999999999997,-5.485573499275878,3.26908716664891e-06
mp-554395,Na5Li3(TiS4)2,unknown,15,0.0,2.2479,-5.495065264240886,3.1984144271508075e-06
mp-35591,LiErS2,unknown,141,0.006727233749998618,1.9886999999999997,-5.500695715936264,3.157215920224649e-06
mp-559814,Li5SbS3I2,unknown,58,0.0,2.5078999999999994,-5.503748612801271,3.1350999217435754e-06
mp-36791,LiNdS2,unknown,141,0.020528524062502385,1.8575,-5.512325286019595,3.073793684731744e-06
mp-33363,LiYS2,unknown,141,0.005742223749999553,1.9596999999999998,-5.519064311501576,3.0264652277597444e-06
mp-1225887,CsLiZnS2,unknown,119,0.0,2.5019,-5.520765081847592,3.0146362573719424e-06
mp-1001069,Li48P16S61,sulfides,6,0.018982198731428035,2.2955,-5.529186057443499,2.956745486687974e-06
mp-753720,Li3BiS3,unknown,148,0.02513504999999938,2.4456999999999995,-5.54544501952617,2.8480983386820665e-06
mp-985582,Li6PS5I,argyrodites,216,0.018937180192306613,2.0205,-5.55801146110991,2.766868626284648e-06
mp-556085,Rb2LiTaS4,unknown,2,0.0,2.7182,-5.664105502453352,2.1671775719385547e-06
mp-8430,KLiS,unknown,129,0.0,3.0571,-5.674839170198443,2.114271861133364e-06
mp-679944,Li4Re6S11,unknown,56,0.023736385476196276,1.5798,-5.6963903347123495,2.011915170119587e-06
mp-1181012,Li4Re6S11,unknown,56,0.0,1.725,-5.6963903347123495,2.011915170119587e-06
mp-722181,KLiS,unknown,194,0.048966201666666986,2.7753,-5.703526126007257,1.9791279585534715e-06
mp-1147634,Li10Zn7(PS4)8,unknown,1,0.007125566184210896,2.6370999999999998,-5.709652368581984,1.951405979484243e-06
mp-8751,RbLiS,unknown,129,0.0,2.745,-5.74291910381519,1.8075107803198718e-06
mp-755309,Li3NbS4,unknown,215,0.007749648684209021,2.7598,-5.7811837206595165,1.6550696671766087e-06
mp-1080241,Li2Ge(S2O7)3,thio-LISICON,148,0.0,3.7659,-5.784212764495608,1.6435663290682827e-06
mp-775806,Li3SbS3,unknown,14,0.03977563732142819,2.2886,-5.863611013132977,1.3689544153893375e-06
mp-11175,LiZnPS4,unknown,82,0.0,2.7311999999999994,-5.884600050017176,1.3043674420992875e-06
mp-1147593,Li6Zn3(PS4)4,unknown,1,0.009921751379310173,2.4748,-5.941050086681002,1.145380838378823e-06
mp-1147600,Li6Zn3(PS4)4,unknown,1,0.00923053189655132,2.6093,-5.941050086681002,1.145380838378823e-06
mp-1147604,Li6Zn3(PS4)4,unknown,1,0.010170074741378876,2.5061,-5.941050086681002,1.145380838378823e-06
mp-1147610,Li6Zn3(PS4)4,unknown,1,0.010139333706896458,2.6682999999999995,-5.941050086681002,1.145380838378823e-06
mp-1147616,Li6Zn3(PS4)4,unknown,1,0.009985503362068826,2.5534000000000003,-5.965092265444833,1.0836966592507666e-06
mp-1147611,Li6Zn3(PS4)4,unknown,1,0.010204642327585667,2.5348,-5.96887237168941,1.074305077409336e-06
mp-1147594,Li6Zn3(PS4)4,unknown,1,0.009746729913792329,2.8963,-5.969980260696914,1.071568008423784e-06
mp-1147603,Li6Zn3(PS4)4,unknown,1,0.010206510689655168,2.5434,-5.969980260696914,1.071568008423784e-06
mp-1147614,Li6Zn3(PS4)4,unknown,1,0.010103123793103741,2.6649,-5.969980260696914,1.071568008423784e-06
mp-1147613,Li6Zn3(PS4)4,unknown,1,0.010071001982758787,2.5518,-5.969980260696914,1.071568008423784e-06
mp-1147609,Li6Zn3(PS4)4,unknown,1,0.010140386379309696,2.497,-5.969980260696914,1.071568008423784e-06
mp-1147596,Li6Zn3(PS4)4,unknown,1,0.009770993965516617,2.5208999999999997,-5.969980260696914,1.071568008423784e-06
mp-1147592,Li6Zn3(PS4)4,unknown,1,0.00993222086206913,2.5364000000000004,-5.969980260696914,1.071568008423784e-06
mp-1223032,Li9Nd2(PS4)5,unknown,15,0.0,2.6503000000000005,-5.979776226906338,1.0476682269601403e-06
mp-760415,Li3SbS4,unknown,121,0.004864941874998863,2.0975,-6.005942232334047,9.864106842894307e-07
mp-1211176,Li6AsS5I,unknown,9,0.00536262807692367,1.5997999999999997,-6.007618620544561,9.826104521216406e-07
mp-532413,Li5B7S13,unknown,9,0.0,3.5527999999999995,-6.036774008086918,9.188105895403046e-07
