record_id,source_split,composition_key,log10_sigma,censored,censor_direction
jqc,official_train,Bi:0.07142857|Li:0.50000000|O:0.42857143,-5.800000874803203,False,
oi6,official_train,Li:0.50000000|O:0.42857143|Sb:0.07142857,-7.173925197299173,False,
2t8,official_train,F:0.12500000|Li:0.12500000|O:0.50000000|P:0.12500000|V:0.12500000,-6.0915149811213505,False,
47i,official_train,Li:0.30769231|O:0.53846154|P:0.15384615,-10.0,True,<
clt,official_train,B:0.19047619|Cu:0.04761905|Li:0.28571429|O:0.47619048,-13.0,False,
ix1,official_train,Hf:0.11274282|Li:0.05074821|O:0.66920718|P:0.16730179,-6.494850021680094,False,
bq9,official_train,Bi:0.14285714|Li:0.42857143|O:0.42857143,-9.619788758288394,False,
skm,official_train,Bi:0.09090909|Li:0.45454545|O:0.45454545,-8.4089353929735,False,
pwr,official_train,Li:0.41927991|O:0.46457607|P:0.02903600|Si:0.08710801,-6.785156151952302,False,
b4c,official_train,Li:0.44444444|S:0.44444444|Si:0.11111111,-7.798602875679548,False,
7se,official_train,Li:0.43181818|P:0.02272727|S:0.45454545|Si:0.09090909,-6.090979145788844,False,
5e2,official_train,Li:0.41860465|P:0.04651163|S:0.46511628|Si:0.06976744,-4.1432711096171175,False,
dj2,official_train,Li:0.40476190|P:0.07142857|S:0.47619048|Si:0.04761905,-3.1791420105603,False,
10u,official_train,Li:0.39024390|P:0.09756098|S:0.48780488|Si:0.02439024,-5.494850021680094,False,
y2l,official_train,Al:0.10000000|Li:0.50000000|S:0.40000000,-8.853871964321762,False,
gl0,official_train,Al:0.02173913|Li:0.45652174|S:0.43478261|Si:0.08695652,-7.619788758288394,False,
wmr,official_train,Al:0.04255319|Li:0.46808511|S:0.42553191|Si:0.06382979,-7.515700160653214,False,
xxq,official_train,Al:0.06250000|Li:0.47916667|S:0.41666667|Si:0.04166667,-7.835647144215563,False,
h8o,official_train,Al:0.08163265|Li:0.48979592|S:0.40816327|Si:0.02040816,-6.640164517660112,False,
pe2,official_train,Li:0.29310345|S:0.48275862|Sb:0.22413793,-8.978810700930062,False,
opo,official_train,Li:0.22222222|S:0.55555556|Sn:0.22222222,-3.9208187539523753,False,
lkm,official_train,Ge:0.13333333|Li:0.40000000|O:0.46666667,-6.070581074285707,False,
bv2,official_train,Li:0.25000000|O:0.50000000|Y:0.25000000,-7.7447274948966935,False,
be9,official_train,Br:0.66666667|Ga:0.16666667|Li:0.16666667,-5.154901959985743,False,
n27,official_train,B:0.25000000|Li:0.25000000|O:0.50000000,-8.0,False,
goi,official_train,C:0.21428571|Cl:0.07142857|H:0.50000000|Li:0.07142857|N:0.07142857|O:0.07142857,-3.795880017344075,False,
lrh,official_train,Li:0.12820513|O:0.61538462|P:0.15384615|V:0.10256410,-6.721246399047171,False,
1xt,official_train,Li:0.25000000|O:0.50000000|Sb:0.25000000,-10.0,True,<
kbo,official_train,Al:0.05000000|Li:0.10000000|O:0.60000000|P:0.15000000|Sr:0.10000000,-10.0,True,<
5zv,official_train,Li:0.26666667|O:0.53333333|P:0.13333333|Zn:0.06666667,-17.255707016877324,False,
5bz,official_train,B:0.16666667|Li:0.50000000|N:0.33333333,-7.060480747381382,False,
883,official_train,Al:0.16666667|H:0.66666667|Li:0.16666667,-8.060480747381382,False,
uu4,official_train,Li:0.20000000|O:0.60000000|V:0.20000000,-8.688246138944246,False,
tws,official_train,Li:0.40000000|O:0.46666667|Zr:0.13333333,-9.2839966563652,False,
