model,fold,n_train,n_validation,n_validation_groups,ridge_alpha,MAE,RMSE,R2,Spearman,Kendall,bias
Median,1,382,96,79,,2.1986149805564055,3.1572008342325533,-0.09672801277409104,,,0.9376243414404235
Ridge,1,382,96,79,10.0,1.3153469532150113,1.807860351725289,0.6403961942412879,0.8173948493983253,0.6383260531279555,0.06076941553335263
RandomForest,1,382,96,79,,0.8904458501475495,1.4082812064124643,0.7817906850230931,0.8940594621692853,0.7423407718337341,0.059133222024843925
Perturbation ensemble,1,382,96,79,,0.825278734998951,1.3997413036234225,0.7844291299329984,0.899500660604998,0.7546837300352452,0.040729120511259854
Median,2,382,96,78,,1.831987875127984,2.4720473376332106,-0.07674921652791,,,0.6599886638733655
Ridge,2,382,96,78,10.0,1.1392429919705742,1.5188225762566308,0.5935425513958417,0.7604907649420549,0.5772205484499636,0.05591717056280149
RandomForest,2,382,96,78,,0.799917263470937,1.1654359511042387,0.7606806466758782,0.8695332185128847,0.7155938548803722,-0.008596291387728078
Perturbation ensemble,2,382,96,78,,0.789131118007853,1.2123420369466615,0.7410288847113475,0.8666228003531519,0.7160346271962825,-0.032903297638241215
Median,3,383,95,76,,2.116282822925931,3.157217559436892,-0.14772852020922045,,,1.132705727405279
Ridge,3,383,95,76,10.0,1.4529619930500384,2.0369904911078103,0.522241791068166,0.7456256992813234,0.5507901940165889,0.061125050120570464
RandomForest,3,383,95,76,,1.2122807383507066,1.9410998054988697,0.5661637008058246,0.8388022122960834,0.6790069277056966,0.10123715788340676
Perturbation ensemble,3,383,95,76,,1.080565580055827,1.6687332203426197,0.6793701306252711,0.8833350530522546,0.7142213827329867,0.20943285492717031
Median,4,383,95,77,,1.7984429800018604,2.4489045780570327,-0.08891860151658681,,,0.6997944060764273
Ridge,4,383,95,77,10.0,1.113876938611265,1.4188509449191082,0.6344681385769669,0.7963319488032755,0.6019798362418622,-0.20335598571997865
RandomForest,4,383,95,77,,0.7990528386602914,1.2610113582608118,0.7112714782618619,0.8828100168518923,0.721773858495236,-0.09213534281670806
Perturbation ensemble,4,383,95,77,,0.7624755946962576,1.2775549382021614,0.7036459542195511,0.8741927970620645,0.7051296498543361,-0.027348308866621016
Median,5,382,96,80,,1.8608562823579604,2.680856384964758,-0.05904979898107898,,,0.6330304047593217
Ridge,5,382,96,80,10.0,1.3202150772512031,1.851868705000425,0.4946530268052416,0.7560154131068085,0.5535384269158464,-0.020963978950278322
RandomForest,5,382,96,80,,0.7987013221346508,1.4229979181221388,0.7016144324658222,0.8827906925065533,0.7244916608182148,0.1328737871151857
Perturbation ensemble,5,382,96,80,,0.7561377835702151,1.3453187848902106,0.733302038341934,0.8862436117201751,0.7240513741814367,0.09443525648421998
