model,sample,n_records,ridge_alpha,MAE,RMSE,R2,Spearman,Kendall,bias
Median,all_records,121,,1.8325411357404116,2.652535368969224,-0.09355157558901372,,,0.7758309509144654
Median,target_domain,24,,1.4112543657648784,1.8554050557568016,-0.0010595832799555893,,,0.060363765066909526
Ridge,all_records,121,10.0,1.5951376732979,2.077301054475052,0.3293193342452688,0.6238520204758936,0.43873533931626063,-0.4205054645851284
Ridge,target_domain,24,10.0,1.6748956556245826,2.20010503371911,-0.4075676780165194,0.5291431056981296,0.39272727272727265,-0.4868386652043126
RandomForest,all_records,121,,1.2926561671798993,1.8960963247311735,0.44122406172253736,0.6704286628481188,0.517823314596657,-0.3170712573944079
RandomForest,target_domain,24,,1.4782497663336969,2.053307705855371,-0.22600016959412983,0.37603305785123964,0.31999999999999995,-0.6420800539504873
Single base CatBoost,all_records,121,,1.2911672497761757,1.899547344864717,0.43918819271396936,0.6570823682071374,0.49899865973752167,-0.29028995216728426
Single base CatBoost,target_domain,24,,1.468757233071951,2.093209989421941,-0.27411331278509743,0.4099608525445846,0.3854545454545454,-0.3720859337846291
Perturbation ensemble,all_records,121,,1.3530937664187177,1.9467061767541234,0.410996714425948,0.659696573704153,0.4926782123403626,-0.3634772158915882
Perturbation ensemble,target_domain,24,,1.584995329362459,2.143844536125022,-0.33650021700259924,0.37516311439756417,0.3345454545454545,-0.5721206793310579
