composition_key,n_records,raw_volume_ratio,volume_per_atom_ratio
Al:0.00546448|Li:0.07103825|O:0.65573770|P:0.16393443|Sc:0.01092896|Ti:0.09289617,2,1.0056083909313127,1.0056083909313127
Al:0.00552486|Li:0.06077348|O:0.66298343|P:0.16574586|Ti:0.10497238,2,1.001419681983593,1.001419681983593
Al:0.01092896|Li:0.07103825|O:0.65573770|P:0.16393443|Sc:0.00546448|Ti:0.09289617,2,1.0011518555643353,1.0011518555643353
Al:0.01098901|Ge:0.09890110|Li:0.06593407|O:0.65934066|P:0.16483516,2,1.0004908664965075,1.0004908664965075
Al:0.01098901|Li:0.06593407|O:0.65934066|P:0.16483516|Ti:0.09890110,3,1.0008636258068544,1.0008636258068544
Al:0.01639344|Ge:0.09289617|Li:0.07103825|O:0.65573770|P:0.16393443,2,1.00124624221728,1.0012462422172799
Al:0.01639344|Li:0.07103825|O:0.65573770|P:0.16393443|Ti:0.09289617,5,1.0032957073970303,1.0032957073970303
Al:0.02173913|Li:0.07608696|O:0.65217391|P:0.16304348|Ti:0.08695652,5,1.0040686448442242,1.0040686448442242
Al:0.02702703|Ge:0.08108108|Li:0.08108108|O:0.64864865|P:0.16216216,3,1.006092251221977,1.0060922512219768
Al:0.02702703|Li:0.08108108|O:0.64864865|P:0.16216216|Ti:0.08108108,2,1.0024575859753215,1.0024575859753218
Al:0.03225806|Ge:0.07526882|Li:0.08602151|O:0.64516129|P:0.16129032,2,1.0009172774833182,1.0009172774833184
B:0.16666667|Li:0.50000000|N:0.33333333,2,2.011325682870522,1.005662841435261
Ba:0.04347826|La:0.08695652|Li:0.26086957|O:0.52173913|Ta:0.08695652,5,1.01279947330602,1.0127994733060197
Bi:0.09090909|La:0.13636364|Li:0.22727273|O:0.54545455,2,1.0030370872307453,1.0030370872307453
Br:0.07692308|Li:0.46153846|P:0.07692308|S:0.38461538,4,1.0128941711261532,1.0128941711261532
Ca:0.04347826|La:0.08695652|Li:0.26086957|Nb:0.08695652|O:0.52173913,2,1.005882964567182,1.005882964567182
Ca:0.04347826|La:0.08695652|Li:0.26086957|O:0.52173913|Ta:0.08695652,2,1.0038361074321496,1.0038361074321496
Cl:0.07692308|Li:0.46153846|P:0.07692308|S:0.38461538,3,1.0178804562321404,1.0178804562321402
Cr:0.01098901|Li:0.06593407|O:0.65934066|P:0.16483516|Ti:0.09890110,2,1.0016681462615906,1.0016681462615908
Cr:0.01639344|Li:0.07103825|O:0.65573770|P:0.16393443|Ti:0.09289617,2,1.0018054921328179,1.0018054921328179
Fe:0.01098901|Li:0.06593407|O:0.65934066|P:0.16483516|Ti:0.09890110,2,1.0026983244507497,1.0026983244507497
Fe:0.01639344|Li:0.07103825|O:0.65573770|P:0.16393443|Ti:0.09289617,2,1.0021669825425008,1.0021669825425006
Ge:0.04000000|Li:0.40000000|P:0.08000000|S:0.48000000,5,1.0117252657776905,1.0117252657776905
Ge:0.05882353|Li:0.41176471|P:0.05882353|S:0.47058824,2,1.0063395574868048,1.5095093362302072
Ge:0.07692308|Li:0.61538462|P:0.30769231,2,1.004827361573845,1.004827361573845
Ge:0.11111111|Li:0.05555556|O:0.66666667|P:0.16666667,2,1.0044529785847032,1.0044529785847032
Hf:0.09289617|In:0.01639344|Li:0.07103825|O:0.65573770|P:0.16393443,2,1.0073799144108992,1.0073799144108992
Hf:0.11111111|Li:0.05555556|O:0.66666667|P:0.16666667,2,1.0061475661523378,1.0061475661523378
I:0.07692308|Li:0.46153846|P:0.07692308|S:0.38461538,3,1.0115806042157036,1.0115806042157038
In:0.01098901|Li:0.06593407|O:0.65934066|P:0.16483516|Ti:0.09890110,2,1.001978639425941,1.001978639425941
La:0.01098901|Li:0.06593407|O:0.65934066|P:0.16483516|Ti:0.09890110,2,1.000198073607028,1.000198073607028
La:0.01639344|Li:0.07103825|O:0.65573770|P:0.16393443|Ti:0.09289617,2,1.0001529880264706,1.0001529880264706
La:0.08695652|Li:0.26086957|Nb:0.08695652|O:0.52173913|Sr:0.04347826,2,1.0046391122676683,1.0046391122676683
La:0.08695652|Li:0.26086957|O:0.52173913|Sr:0.04347826|Ta:0.08695652,3,1.0090199579339036,1.0090199579339036
La:0.12500000|Li:0.29166667|O:0.50000000|Zr:0.08333333,5,1.001639920907904,1.001639920907904
La:0.12605042|Li:0.28571429|O:0.50420168|Ta:0.00840336|Zr:0.07563025,2,1.003243240720339,1.003243240720339
La:0.12631579|Li:0.28421053|O:0.50526316|Ta:0.01052632|Zr:0.07368421,2,1.0046599976220132,1.004659997622013
La:0.12711864|Li:0.27966102|O:0.50847458|Ta:0.01694915|Zr:0.06779661,3,1.0028760052294157,1.0028760052294157
La:0.12765957|Li:0.27659574|O:0.51063830|Ta:0.02127660|Zr:0.06382979,3,1.0082198388741586,1.0082198388741586
La:0.13043478|Li:0.26086957|O:0.52173913|Ta:0.04347826|Zr:0.04347826,2,1.000232756613233,1.000232756613233
La:0.13636364|Li:0.22727273|Nb:0.09090909|O:0.54545455,2,1.010414939630906,1.010414939630906
La:0.13636364|Li:0.22727273|O:0.54545455|Sb:0.09090909,2,1.0023253630650955,1.0023253630650955
La:0.13636364|Li:0.22727273|O:0.54545455|Ta:0.09090909,4,1.0161880968106103,1.0161880968106103
Li:0.05555556|O:0.66666667|P:0.16666667|Ti:0.11111111,5,1.0026099680969678,1.0026099680969676
Li:0.06593407|O:0.65934066|P:0.16483516|Sc:0.01098901|Ti:0.09890110,3,1.0058335548400028,1.0058335548400028
Li:0.07103825|O:0.65573770|P:0.16393443|Sc:0.01639344|Ti:0.09289617,3,1.0030525958588856,1.0030525958588856
Li:0.26666667|O:0.53333333|P:0.13333333|Zn:0.06666667,2,1.945779001069067,1.0278659595468667
Li:0.33333333|P:0.16666667|S:0.50000000,2,1.0012884519911098,1.0012884519911098
Li:0.37500000|O:0.50000000|P:0.12500000,2,1.0044244511603133,1.0044244511603133
Li:0.37500000|P:0.12500000|S:0.50000000,2,2.066849595220116,1.033424797610058
Li:0.39540508|P:0.08827086|S:0.48367594|Sn:0.03264813,2,1.0005288439735092,1.0005288439735092
Li:0.40000000|P:0.08000000|S:0.48000000|Sn:0.04000000,3,1.008623783528259,1.008623783528259
Li:0.40476190|P:0.07142857|S:0.47619048|Si:0.04761905,2,4.132602249685846,1.0331505624214614
Li:0.40828402|P:0.06508876|S:0.47337278|Si:0.05325444,2,1.0048823518988677,1.0048823518988677
Li:0.44444444|S:0.44444444|Si:0.11111111,2,2.0007796065156858,1.0003898032578429
