sample,signal,spearman_rho,ci95_low,ci95_high,n_records,n_compositions,n_bootstrap,rank_normalization
oof,spread_error,0.5676683376974756,0.48854949072238124,0.6258773661311301,478,390,4000,within_fold
oof,ad_error,0.4826554556906155,0.4002563673148913,0.5532175208335711,478,390,4000,within_fold
oof,combined_error,0.5637164281453796,0.48280780519584127,0.6250266778247747,478,390,4000,within_fold
oof,spread_ad,0.7260432499568874,0.6563189737685452,0.7742118605341994,478,390,4000,within_fold
test,spread_error,0.31101717453730354,0.13423972387550517,0.4640903563867821,121,112,4000,within_sample
test,ad_error,0.3446136129340716,0.15880976954124465,0.5010370875689306,121,112,4000,within_sample
test,combined_error,0.36745028111153893,0.18396173235367488,0.5179284464565662,121,112,4000,within_sample
test,spread_ad,0.7223634494530724,0.6032136256444489,0.8088005523633205,121,112,4000,within_sample
oof_target_domain,spread_error,0.5827526233540025,0.40209067063995324,0.6849091401738613,117,97,4000,within_fold
oof_target_domain,ad_error,0.5202755683593113,0.34128349756726123,0.6312961461868426,117,97,4000,within_fold
oof_target_domain,combined_error,0.5950625712550506,0.40424769652822456,0.6887164907317527,117,97,4000,within_fold
oof_target_domain,spread_ad,0.6961664415122251,0.5148410302479131,0.8068176229102848,117,97,4000,within_fold
test_target_domain,spread_error,0.26744945185408003,-0.19213885225320693,0.6784225983959723,24,23,4000,within_sample
test_target_domain,ad_error,0.1391304347826087,-0.28586797458418345,0.5172241240834297,24,23,4000,within_sample
test_target_domain,combined_error,0.23705961355246505,-0.19560451035824455,0.6014078163091642,24,23,4000,within_sample
test_target_domain,spread_ad,0.8945423129493375,0.7106241279032453,0.9640390967917101,24,23,4000,within_sample
