record_id,composition_key,fold,true_log10_sigma,prediction,spread,ad_distance,absolute_error,censored,target_domain
00x,Gd:0.05555556|Li:0.05555556|O:0.66666667|P:0.22222222,3,-10.0,-7.269427772428703,0.3772954641353962,7.368689779093451,2.7305722275712974,True,False
019,Li:0.05555556|O:0.66666667|P:0.16666667|Ti:0.11111111,4,-3.7931741239681505,-6.679900821777224,0.3030776280242749,1.0006789506007996,2.8867266978090735,False,False
02p,Li:0.40000000|P:0.08000000|S:0.48000000|Si:0.04000000,2,-2.638272163982407,-2.6276298190787886,0.07356001596858693,0.2103504693860831,0.010642344903618373,False,True
08e,Li:0.05555556|O:0.66666667|P:0.16666667|Ti:0.10000000|Zr:0.01111111,5,-7.070581074285707,-5.394094645995084,0.2160651404497686,1.3333404299379121,1.676486428290623,False,False
09w,Br:0.07662835|Li:0.46360153|P:0.07279693|S:0.38314176|Si:0.00383142,3,-3.359518563029578,-3.0035029680983194,0.07225928864167121,0.1033890106754269,0.35601559493125867,False,True
0ew,La:0.13043478|Li:0.26086957|O:0.52173913|Ta:0.04347826|Zr:0.04347826,2,-3.795880017344075,-4.184040861278766,0.09610231563857367,0.7935518498286497,0.3881608439346911,False,False
0fa,Al:0.01092896|Li:0.07103825|O:0.65573770|P:0.16393443|Sc:0.00546448|Ti:0.09289617,2,-3.570247719997592,-3.110349143405943,0.06597507393419709,0.7617604353626652,0.459898576591649,False,False
0fh,Al:0.01098901|Ge:0.09890110|Li:0.06593407|O:0.65934066|P:0.16483516,5,-4.316052869248487,-5.138556399935251,0.14080427095750758,0.4929961215731785,0.8225035306867632,False,False
0iv,Li:0.33333333|P:0.16666667|S:0.50000000,5,-6.623423042943488,-5.643462489950499,0.23330690783808086,1.6892709810269266,0.9799605529929885,False,True
0o6,Li:0.06593407|O:0.65934066|P:0.16483516|Sc:0.01098901|Ti:0.09890110,4,-4.000869458712629,-3.551891304274061,0.051683197888771217,0.2321629831089025,0.4489781544385676,False,False
0v9,In:0.01111111|La:0.13333333|Li:0.24444444|Nb:0.07777778|O:0.53333333,4,-4.619788758288394,-4.250426037660833,0.15240672701782382,2.3367215732460247,0.3693627206275609,False,False
0x9,Li:0.06593407|O:0.65934066|P:0.16483516|Sc:0.01098901|Ti:0.09890110,4,-3.6090648928966207,-3.551891304274061,0.051683197888771217,0.2321629831089025,0.05717358862255972,False,False
0y6,Al:0.03225806|Ge:0.07526882|Li:0.08602151|O:0.64516129|P:0.16129032,5,-3.853871964321762,-3.9062517408117987,0.08809281467321271,0.5274883440701047,0.05237977649003689,False,False
10s,Br:0.07490637|Li:0.47565543|P:0.04868914|S:0.37453184|Si:0.02621723,4,-2.630784142589857,-2.8754336982828366,0.0471761481408507,0.12070071967857607,0.24464955569297953,False,True
10u,Li:0.39024390|P:0.09756098|S:0.48780488|Si:0.02439024,2,-5.494850021680094,-3.0187015170370457,0.18051191928079852,0.49084991490815816,2.476148504643048,False,True
11b,Li:0.75000000|P:0.25000000,2,-3.153044674980176,-4.6317341089933315,0.2173392553026972,6.997496914757311,1.4786894340131553,False,False
122,Cl:0.07692308|Li:0.46153846|P:0.07692308|S:0.38461538,4,-2.688246138944246,-4.739898246330769,0.25821827641029765,5.044581376495368,2.0516521073865235,False,True
13q,Li:0.40000000|P:0.08000000|S:0.48000000|Sn:0.04000000,2,-2.4001169279263124,-2.4137190076388886,0.0542185072752631,0.14016636531280263,0.01360207971257621,False,True
1dm,Al:0.03225806|Ge:0.07526882|Li:0.08602151|O:0.64516129|P:0.16129032,5,-3.5466816599529625,-3.9062517408117987,0.08809281467321271,0.5274883440701047,0.35957008085883624,False,False
1e9,Li:0.42857143|S:0.42857143|Sb:0.14285714,2,-9.0,-5.599464445596967,0.2533279609727409,4.208930716944331,3.4005355544030333,False,True
1hh,Ge:0.04000000|Li:0.40000000|P:0.08000000|S:0.48000000,1,-1.9208187539523751,-2.109758562023112,0.07786045371528107,0.7645510540774337,0.18893980807073674,False,True
1kq,Br:0.07692308|Li:0.46153846|P:0.07692308|S:0.33076923|Se:0.05384615,5,-2.5214335044061564,-2.560273019112668,0.07525398912955913,0.32865845776786096,0.03883951470651148,False,True
1m8,Ge:0.05797101|I:0.07246377|Li:0.49275362|P:0.01449275|S:0.36231884,3,-2.58838029403677,-2.664334254638699,0.15319436009504941,0.5322306704252207,0.07595396060192927,False,True
1pw,Al:0.01226994|F:0.01226994|La:0.11451943|Li:0.06748466|O:0.60122699|Ti:0.19222904,5,-3.9746941347352296,-3.2985461787347172,0.03697145645211722,0.06311245517097895,0.6761479560005124,False,False
1sz,Al:0.00613497|F:0.00613497|La:0.11451943|Li:0.06748466|O:0.60736196|Ti:0.19836401,4,-3.032452023781138,-3.096271335003072,0.06626379326041294,0.07725667593469172,0.06381931122193407,False,False
1wm,Li:0.06593407|O:0.65934066|P:0.16483516|Sc:0.01098901|Ti:0.09890110,4,-3.161150909262745,-3.551891304274061,0.051683197888771217,0.2321629831089025,0.3907403950113162,False,False
1xf,Al:0.02702703|Ge:0.08108108|Li:0.08108108|O:0.64864865|P:0.16216216,5,-3.473660722610156,-3.9507295127332878,0.08462360683536763,0.4807590500250901,0.47706879012313186,False,False
1xt,Li:0.25000000|O:0.50000000|Sb:0.25000000,3,-10.0,-8.2036324221099,0.1607521617996937,6.953324958953067,1.7963675778901003,True,False
20k,La:0.08695652|Li:0.26086957|Nb:0.08695652|O:0.52173913|Sr:0.04347826,1,-5.432973633840939,-5.416182481956359,0.1223149119932785,2.765555694642959,0.016791151884580025,False,False
21m,Hf:0.10497238|Li:0.06077348|Lu:0.00552486|O:0.66298343|P:0.16574586,2,-4.230622673923862,-4.466610185798053,0.04515152021436254,0.6931557312501277,0.23598751187419076,False,False
240,Ge:0.07692308|Li:0.61538462|P:0.30769231,1,-4.0655015487564325,-4.555402897391419,0.22972745709229273,6.598209641762122,0.48990134863498636,False,False
2eq,In:0.01639344|Li:0.07103825|O:0.65573770|P:0.16393443|Ti:0.09289617,2,-3.4056074496245734,-3.718570540478741,0.06934318196132613,0.6224331247915563,0.3129630908541676,False,False
2mn,La:0.12500000|Li:0.29166667|O:0.50000000|Zr:0.08333333,2,-3.291579099865287,-4.781446531923213,0.17712180772604996,1.2890323578287624,1.4898674320579257,False,False
2ro,Li:0.33333333|P:0.16666667|S:0.50000000,5,-9.795880017344075,-5.643462489950499,0.23330690783808086,1.6892709810269266,4.152417527393576,False,True
2t8,F:0.12500000|Li:0.12500000|O:0.50000000|P:0.12500000|V:0.12500000,1,-6.0915149811213505,-6.43795921850827,0.21975553639566836,5.798828599279312,0.3464442373869199,False,False
2wb,La:0.12711864|Li:0.27966102|O:0.50847458|Ta:0.01694915|Zr:0.06779661,4,-3.3279021420642825,-3.252148290363237,0.02329519108975247,0.174307851528622,0.07575385170104543,False,False
31s,Ge:0.09090909|Li:0.43181818|O:0.45454545|V:0.02272727,5,-5.567030709125595,-5.8225983807592625,0.1294962438771163,1.1624067889192768,0.2555676716336679,False,False
3k7,Al:0.00408998|F:0.00408998|La:0.11451943|Li:0.06748466|O:0.60940695|Ti:0.20040900,5,-2.9746941347352296,-3.1621532365466303,0.06623383774787411,0.08392944693098084,0.18745910181140069,False,False
3nb,Ce:0.04166667|Li:0.08333333|Mo:0.16666667|O:0.66666667|Sm:0.04166667,2,-9.744727494896694,-8.564626760114912,0.16113089688559024,4.1906158451147375,1.1801007347817816,False,False
3o4,Ga:0.01063830|La:0.12765957|Li:0.26595745|O:0.51063830|Zr:0.08510638,5,-3.4559319556497243,-3.543309157385791,0.06187075038540409,2.01106568815384,0.08737720173606656,False,False
3qz,La:0.12500000|Li:0.29166667|O:0.50000000|Zr:0.08333333,2,-3.9208187539523753,-4.781446531923213,0.17712180772604996,1.2890323578287624,0.8606277779708376,False,False
3rx,Li:0.14285714|Nd:0.14285714|O:0.57142857|Ti:0.14285714,5,-10.0,-7.338398165297903,0.22089313431990187,3.7574252849574856,2.661601834702097,True,False
3sx,Li:0.40476190|P:0.07142857|S:0.47619048|Si:0.04761905,1,-2.3757179041643317,-2.4758994092831417,0.08330287828828066,0.10851751192876868,0.10018150511880997,False,True
3ta,Ga:0.01639344|Li:0.07103825|O:0.65573770|P:0.16393443|Ti:0.09289617,2,-3.583359492661719,-3.4908082706433254,0.055974536228968357,0.7809693106857345,0.09255122201839372,False,False
3tt,Al:0.00819672|Li:0.07103825|O:0.65573770|P:0.16393443|Ti:0.09289617|Y:0.00819672,2,-4.721246399047171,-3.657912694329951,0.070046606857289,1.5968576488571422,1.0633337047172202,False,False
3uq,Al:0.01639344|Ge:0.09289617|Li:0.07103825|O:0.65573770|P:0.16393443,1,-4.084072788302884,-4.174910392932875,0.09153027885350118,0.36119279648764924,0.09083760462999102,False,False
