database_version,material_id,formula,composition_key,elements,n_elements,spacegroup_no,crystal_system,e_above_hull,band_gap,theoretical,icsd_ids,pauling_ids,last_updated,disposition,disposition_reason,ranking_score,ensemble_spread,ad_distance,screen_rank,evidence_state
2026.04.13,mp-1001069,Li48P16S61,Li:0.38400000|P:0.12800000|S:0.48800000,Li;P;S,3,6,Monoclinic,0.018982198731428,2.2955,True,,,2016-07-22 01:09:20+00:00,screen_candidate,outside OBELiX composition set,-4.84914265144327,0.15295070527240517,0.5716396397316208,42,high_score_lower_risk
2026.04.13,mp-1020013,Li2S2O7,Li:0.18181818|O:0.63636364|S:0.18181818,Li;O;S,3,62,Orthorhombic,0.0,5.5360000000000005,False,icsd-188009,,2022-01-01 02:20:30.449000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-9.35535387412001,0.6543473072986635,5.598303998115698,232,not_applicable
2026.04.13,mp-1020018,Li5B(SO4)4,B:0.03846154|Li:0.19230769|O:0.61538462|S:0.15384615,B;Li;O;S,4,14,Monoclinic,0.0082010613461536,6.108199999999999,False,icsd-428002,,2021-02-16 08:02:26.609000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-9.81907834652496,0.3525887420207276,3.676324340627615,233,not_applicable
2026.04.13,mp-1020060,LiB(S2O7)2,B:0.05000000|Li:0.05000000|O:0.70000000|S:0.20000000,B;Li;O;S,4,19,Orthorhombic,0.0,5.51,False,icsd-425175,,2021-02-16 04:33:14.216000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-9.912488195438982,0.49093058564876807,4.833914805847657,236,not_applicable
2026.04.13,mp-1020106,LiB(SO4)2,B:0.08333333|Li:0.08333333|O:0.66666667|S:0.16666667,B;Li;O;S,4,7,Monoclinic,0.0,6.3873999999999995,False,icsd-425174,,2021-02-16 09:59:25.912000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-8.776571918131038,0.3409202553962959,4.090443668572253,227,not_applicable
2026.04.13,mp-1021497,Li2SiSnS4,Li:0.25000000|S:0.50000000|Si:0.12500000|Sn:0.12500000,Li;S;Si;Sn,4,121,Tetragonal,0.0168684903125004,1.9995,True,,,2020-11-11 01:12:17.875000+00:00,screen_candidate,outside OBELiX composition set,-5.580389314664825,0.1444367295427726,3.781334690215961,72,high_score_lower_risk
2026.04.13,mp-1040450,Li5P(S2Cl)2,Cl:0.16666667|Li:0.41666667|P:0.08333333|S:0.33333333,Cl;Li;P;S,4,38,Orthorhombic,0.0163354922916667,2.7792999999999997,True,,,2021-02-10 01:42:51.936000+00:00,screen_candidate,outside OBELiX composition set,-3.507479020412228,0.1584097761388394,2.389149132728132,24,high_score_lower_risk
2026.04.13,mp-1040451,Li20Si3P3S23Cl,Cl:0.02000000|Li:0.40000000|P:0.06000000|S:0.46000000|Si:0.06000000,Cl;Li;P;S;Si,5,6,Monoclinic,0.035331716299999,2.3935999999999997,True,,,2021-02-06 01:42:26.514000+00:00,screen_candidate,outside OBELiX composition set,-2.2616938324596543,0.11619098537778953,4.717161061048966,3,high_score_lower_risk
2026.04.13,mp-1080241,Li2Ge(S2O7)3,Ge:0.03333333|Li:0.06666667|O:0.70000000|S:0.20000000,Ge;Li;O;S,4,148,Trigonal,0.0,3.7659,True,,,2018-04-18 23:56:08+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-7.774456983197011,0.5204409330946249,3.101761885167032,209,not_applicable
2026.04.13,mp-1097034,Li20Si3P3S23Cl,Cl:0.02000000|Li:0.40000000|P:0.06000000|S:0.46000000|Si:0.06000000,Cl;Li;P;S;Si,5,6,Monoclinic,0.0355045244999994,2.3724,True,,,2021-02-05 11:33:54.426000+00:00,screen_candidate,outside OBELiX composition set,-2.2616938324596543,0.11619098537778953,4.717161061048966,4,high_score_lower_risk
2026.04.13,mp-1097035,Li20Si3P3S23Cl,Cl:0.02000000|Li:0.40000000|P:0.06000000|S:0.46000000|Si:0.06000000,Cl;Li;P;S;Si,5,6,Monoclinic,0.0305383722999987,2.3076,True,,,2021-02-05 08:22:11.795000+00:00,screen_candidate,outside OBELiX composition set,-2.2616938324596543,0.11619098537778953,4.717161061048966,5,high_score_lower_risk
2026.04.13,mp-1097036,Li3PS4,Li:0.37500000|P:0.12500000|S:0.50000000,Li;P;S,3,62,Orthorhombic,0.0138297662499997,2.8219000000000003,True,,,2021-12-31 14:38:02.780000+00:00,obelix_composition_reference,measured composition in OBELiX,-6.05437137073699,0.15413781012775285,0.453037115432668,103,not_applicable
2026.04.13,mp-1105750,LiAu(S2O7)2,Au:0.05000000|Li:0.05000000|O:0.70000000|S:0.20000000,Au;Li;O;S,4,2,Triclinic,0.0,1.9833021813679452,False,icsd-422909,,2021-02-05 09:42:56.991000+00:00,oxygen_scope_exclusion,contains oxygen; outside the declared Li-S scope,-8.429960159280155,0.30838993339940296,6.846181967322228,222,not_applicable
