source,record_id,material_id,disposition,pc1,pc2,ranking_score,ensemble_spread,ad_distance
OBELiX,jqc,,reference_measurement,-4.626340630148993,6.225649402033294,-5.800000874803203,,7.119136911611383
OBELiX,oi6,,reference_measurement,-6.4110954335453885,2.7951655041574446,-7.173925197299173,,6.038496078372968
OBELiX,2t8,,reference_measurement,1.2621610228055111,-4.500526946719919,-6.0915149811213505,,6.039943184492385
OBELiX,47i,,reference_measurement,-2.603804747025946,-5.050823141501893,-10.0,,2.662339908643644
OBELiX,clt,,reference_measurement,-1.6448969362177945,-3.586448953998791,-13.0,,4.989171520379472
OBELiX,ix1,,reference_measurement,5.746128296788591,-1.7974852500278666,-6.494850021680094,,0.5664821839216028
OBELiX,bq9,,reference_measurement,-1.7932619190826617,7.131392688781084,-9.619788758288394,,7.156893783685087
OBELiX,skm,,reference_measurement,-2.48955252159496,5.746395471964918,-8.4089353929735,,6.255408928058131
OBELiX,pwr,,reference_measurement,-2.9358266181712747,-3.4090133159184632,-6.785156151952302,,2.136679584102646
OBELiX,b4c,,reference_measurement,-9.390819614164034,0.04360698518477993,-7.798602875679548,,1.9127327532778167
OBELiX,7se,,reference_measurement,-6.9811545132333,-1.37710577661715,-6.090979145788844,,0.5960004578423207
OBELiX,5e2,,reference_measurement,-6.917041439694731,-1.5190217442527412,-4.1432711096171175,,0.30782663796725707
OBELiX,dj2,,reference_measurement,-6.851704237980633,-1.6894793202426843,-3.1791420105603,,0.0800986147634942
OBELiX,10u,,reference_measurement,-6.778746338675567,-1.8909245000424315,-5.494850021680094,,0.4327941393239768
OBELiX,y2l,,reference_measurement,-10.852362796072267,0.45987478779704344,-8.853871964321762,,1.589770232688259
OBELiX,gl0,,reference_measurement,-10.196295886206624,0.2910676919058952,-7.619788758288394,,1.0721336787580444
OBELiX,wmr,,reference_measurement,-10.288544959047199,0.366901908573052,-7.515700160653214,,0.9523622389037577
OBELiX,xxq,,reference_measurement,-10.377146635202473,0.428779697273205,-7.835647144215563,,0.9437621466906266
OBELiX,h8o,,reference_measurement,-10.46223926510719,0.478284565229065,-6.640164517660112,,1.030765186282319
OBELiX,pe2,,reference_measurement,-5.208294144257009,2.00079766316617,-8.978810700930062,,4.224390411080274
OBELiX,opo,,reference_measurement,-4.875018839578086,0.5273096562789781,-3.9208187539523753,,4.388357606548876
OBELiX,lkm,,reference_measurement,-2.4740018998043953,-1.0791083838005242,-6.070581074285707,,2.5937970864120627
OBELiX,bv2,,reference_measurement,3.567841037176,1.9460292734410465,-7.7447274948966935,,2.647218583196642
OBELiX,be9,,reference_measurement,-5.217645441308437,1.6562611157455298,-5.154901959985743,,13.526370937385513
OBELiX,n27,,reference_measurement,-1.8731214153319646,-6.228424884140006,-8.0,,5.624759958897327
OBELiX,goi,,reference_measurement,-7.148119310533652,-4.484774554119213,-3.795880017344075,,12.461411952652165
OBELiX,lrh,,reference_measurement,1.4666949757737195,-5.622391439678162,-6.721246399047171,,1.8889790858102777
OBELiX,1xt,,reference_measurement,0.42519640496595396,0.6995067155451792,-10.0,,5.88834928650081
OBELiX,kbo,,reference_measurement,1.936482719787062,-3.641526974596817,-10.0,,6.376073849422333
OBELiX,5zv,,reference_measurement,-1.7730063863430765,-3.415583927802904,-17.255707016877324,,2.750367918124959
OBELiX,5bz,,reference_measurement,-10.208790267976102,-3.842647916390251,-7.060480747381382,,5.652767674632839
OBELiX,883,,reference_measurement,-9.716913349147738,-8.260047467359868,-8.060480747381382,,16.840615967889875
OBELiX,uu4,,reference_measurement,1.5257970868839423,-2.6661277695797736,-8.688246138944246,,2.951365001395981
OBELiX,tws,,reference_measurement,1.0367928533162676,0.563916828335789,-9.2839966563652,,3.11106027013138
OBELiX,l9v,,reference_measurement,-3.24258616179888,-4.468805705296975,-6.301029995663981,,6.4211181703108595
OBELiX,t0h,,reference_measurement,1.8523858819789483,0.5530762190651183,-9.214670164989233,,2.8358399093352786
OBELiX,4kt,,reference_measurement,-4.383552228827971,0.9762618531576582,-10.0,,3.3164565004601165
OBELiX,xas,,reference_measurement,-5.888387299676712,1.4375528652217209,-4.823908740944319,,3.677279360839941
OBELiX,kfp,,reference_measurement,2.3708481696926658,-0.9667138769029925,-16.796203144042632,,7.449666500120662
OBELiX,qy4,,reference_measurement,-4.642461767353329,1.0818295356291852,-5.055517327849832,,6.522724223620021
OBELiX,00x,,reference_measurement,5.786921683855995,-4.407476326995087,-10.0,,7.421208263441487
OBELiX,9wf,,reference_measurement,-3.1190923853859966,11.977638162296994,-3.1870866433571443,,16.993960764047326
OBELiX,dmq,,reference_measurement,-9.618502687381081,-0.29892803969439885,-7.882728704344236,,2.101836838256902
OBELiX,uox,,reference_measurement,-1.5083369627448378,-4.0349100638029345,-11.247951552180561,,2.9762585034114277
OBELiX,joc,,reference_measurement,-7.136006462536736,-2.0390986540569243,-6.585026652029182,,0.6478108282452413
OBELiX,mq1,,reference_measurement,-6.081685600537168,1.836868620741646,-8.318758762624412,,3.9168916585872657
OBELiX,ssv,,reference_measurement,-0.6091152747434272,-2.044290923911775,-12.882728704344236,,1.866402800017887
OBELiX,h6c,,reference_measurement,-0.2900535768887407,-1.5279294372183048,-13.036212172654444,,2.848375331895244
OBELiX,bsa,,reference_measurement,-1.4095004185594655,-2.6076355359928303,-13.619788758288394,,3.905768146094515
OBELiX,mde,,reference_measurement,-0.5453010949870459,-8.354199239921051,-10.0,,7.874115797456869
OBELiX,1e9,,reference_measurement,-8.295998088290997,3.857110271481563,-9.0,,3.623232832182365
OBELiX,an2,,reference_measurement,-8.450219864303245,0.2874350703990732,-10.0,,3.9900707152221395
OBELiX,tka,,reference_measurement,-4.451229197972901,-8.518531764313252,-7.209714835966758,,13.169624991257427
