candidate_rank,composition_key,formula,material_id,spacegroup_no,crystal_system,ranking_score,ensemble_spread,ad_distance,n_mp_entries,min_e_above_hull,max_band_gap,any_icsd_match,any_non_theoretical_entry,member_rank_q25,member_rank_median,member_rank_q75,member_rank_iqr,top_quartile_frequency,evidence_state,score_percentile,spread_percentile,ad_percentile,combined_risk_percentile
1,Cl:0.02000000|Li:0.40000000|P:0.06000000|S:0.46000000|Si:0.06000000,Li20Si3P3S23Cl,mp-1097035,6,Monoclinic,-2.2616938324596543,0.11619098537778953,4.717161061048966,3,0.0305383722999987,2.3935999999999997,False,False,1.0,1.0,1.0,0.0,1.0,high_score_lower_risk,1.0,0.016129032258064516,0.2903225806451613,0.2903225806451613
2,Li:0.69230769|N:0.07692308|S:0.23076923,Li9S3N,mp-557964,221,Cubic,-3.475747659133966,0.3959674219528381,5.900351654965452,1,0.0078990861538468,2.4272,True,True,2.0,3.0,3.0,1.0,1.0,extrapolative,0.9838709677419355,0.7903225806451613,0.4032258064516129,0.7903225806451613
3,Cl:0.16666667|Li:0.41666667|P:0.08333333|S:0.33333333,Li5P(S2Cl)2,mp-1040450,38,Orthorhombic,-3.507479020412228,0.1584097761388394,2.389149132728132,1,0.0163354922916667,2.7792999999999997,False,False,2.0,2.0,3.0,1.0,1.0,high_score_lower_risk,0.967741935483871,0.08064516129032258,0.03225806451612903,0.08064516129032258
4,Li:0.33333333|Na:0.33333333|S:0.33333333,NaLiS,mp-8452,129,Tetragonal,-4.846235216378641,0.28051344697402836,5.05125752580491,1,0.0,2.2642,True,True,4.0,5.0,5.0,1.0,1.0,high_score_lower_risk,0.9516129032258065,0.45161290322580644,0.3387096774193548,0.45161290322580644
5,Li:0.38400000|P:0.12800000|S:0.48800000,Li48P16S61,mp-1001069,6,Monoclinic,-4.84914265144327,0.15295070527240517,0.5716396397316208,1,0.018982198731428,2.2955,False,False,4.0,5.0,5.5,1.5,1.0,high_score_lower_risk,0.9354838709677419,0.06451612903225806,0.016129032258064516,0.06451612903225806
6,Li:0.50000000|P:0.07142857|S:0.42857143,Li7PS6,mp-1211324,33,Orthorhombic,-5.074569718213718,0.3659945241261928,4.795806559792761,1,0.0325299232142848,2.0626,False,False,5.0,6.0,8.0,3.0,0.9333333333333333,high_score_lower_risk,0.9193548387096774,0.6774193548387096,0.3064516129032258,0.6774193548387096
7,Li:0.12500000|Rb:0.25000000|S:0.50000000|Ta:0.12500000,Rb2LiTaS4,mp-556085,2,Triclinic,-5.277788121916793,0.25330959000169717,12.8631744738832,1,0.0,2.7182,True,True,7.0,8.0,9.5,2.5,1.0,extrapolative,0.9032258064516129,0.3548387096774194,0.8225806451612904,0.8225806451612904
8,Bi:0.10000000|Li:0.50000000|S:0.40000000,Li5BiS4,mp-755139,71,Orthorhombic,-5.390057181948376,0.16677333211987702,7.94535176724383,1,0.0450513479999994,1.7858000000000005,False,False,7.0,10.0,12.5,5.5,0.8666666666666667,high_score_lower_risk,0.8870967741935484,0.0967741935483871,0.5,0.5
9,Li:0.22580645|S:0.51612903|Y:0.22580645|Zr:0.03225806,Li7Y7ZrS16,mp-754856,10,Monoclinic,-5.396860806851931,0.23769515375204342,8.739977643662764,1,0.0066656554838706,1.7430999999999996,False,False,7.5,9.0,13.0,5.5,0.9333333333333333,high_score_lower_risk,0.8709677419354839,0.2903225806451613,0.5967741935483871,0.5967741935483871
10,As:0.07692308|I:0.07692308|Li:0.46153846|S:0.38461538,Li6AsS5I,mp-1222482,1,Triclinic,-5.466361544081773,0.2522016618426946,3.671871873969864,2,0.0,1.5997999999999997,False,False,8.5,10.0,16.0,7.5,0.7333333333333333,high_score_lower_risk,0.8548387096774194,0.3387096774193548,0.11290322580645161,0.3387096774193548
11,Cd:0.12500000|Li:0.25000000|S:0.50000000|Sn:0.12500000,Li2CdSnS4,mp-1188784,31,Orthorhombic,-5.57752310175115,0.18876126371087262,4.101409524735375,1,0.0,1.934654526916268,True,True,10.0,12.0,13.5,3.5,0.8666666666666667,high_score_lower_risk,0.8387096774193549,0.16129032258064516,0.1935483870967742,0.1935483870967742
12,Li:0.25000000|S:0.50000000|Si:0.12500000|Sn:0.12500000,Li2SiSnS4,mp-1021497,121,Tetragonal,-5.580389314664825,0.1444367295427726,3.781334690215961,1,0.0168684903125004,1.9995,False,False,11.0,13.0,18.0,7.0,0.6666666666666666,high_score_lower_risk,0.8225806451612904,0.04838709677419355,0.12903225806451613,0.12903225806451613
13,Li:0.20000000|Na:0.20000000|S:0.40000000|Zn:0.20000000,NaLiZnS2,mp-1220972,156,Trigonal,-5.584897509777568,0.3860562295941375,5.660253507098548,1,0.0,1.8298,False,False,10.0,12.0,23.0,13.0,0.6666666666666666,extrapolative,0.8064516129032258,0.7580645161290323,0.3870967741935484,0.7580645161290323
14,In:0.25000000|Li:0.25000000|S:0.50000000,LiInS2,mp-1188392,33,Orthorhombic,-5.671274059154,0.23527856335942332,3.8504091175790074,1,0.0,2.195760046648682,True,True,12.0,13.0,20.5,8.5,0.6666666666666666,high_score_lower_risk,0.7903225806451613,0.27419354838709675,0.14516129032258066,0.27419354838709675
15,Li:0.25000000|S:0.50000000|Sn:0.12500000|Zn:0.12500000,Li2ZnSnS4,mp-555186,7,Monoclinic,-5.690685580400948,0.25501584938861194,3.922978941205186,1,0.0,2.1985,True,True,13.0,14.0,18.0,5.0,0.7333333333333333,high_score_lower_risk,0.7741935483870968,0.3709677419354839,0.1774193548387097,0.3709677419354839
16,K:0.33333333|Li:0.33333333|S:0.33333333,KLiS,mp-8430,129,Tetragonal,-5.795971996487188,0.33723332437584824,13.648313305342356,2,0.0,3.0571,True,True,10.5,18.0,29.0,18.5,0.4666666666666667,extrapolative,0.7580645161290323,0.6290322580645161,0.9354838709677419,0.9354838709677419
17,Cd:0.12500000|Ge:0.12500000|Li:0.25000000|S:0.50000000,Li2CdGeS4,mp-1189383,31,Orthorhombic,-5.851252935654203,0.20963708489072208,3.9195477431335872,1,0.0,2.235934698116427,True,True,18.5,20.0,23.0,4.5,0.13333333333333333,unflagged,0.7419354838709677,0.20967741935483872,0.16129032258064516,0.20967741935483872
18,Ga:0.25000000|Li:0.25000000|S:0.50000000,LiGaS2,mp-3647,33,Orthorhombic,-5.878698521208734,0.24859700442112823,4.298198639739917,1,0.0,2.9608,True,True,18.0,20.0,26.5,8.5,0.13333333333333333,unflagged,0.7258064516129032,0.3225806451612903,0.20967741935483872,0.3225806451612903
19,K:0.20000000|Li:0.20000000|S:0.40000000|Zn:0.20000000,KLiZnS2,mp-774907,119,Tetragonal,-5.932728492489354,0.4260254959922103,8.556642085449965,1,0.0,2.4361,False,False,16.0,22.0,34.0,18.0,0.3333333333333333,extrapolative,0.7096774193548387,0.8225806451612904,0.5645161290322581,0.8225806451612904
20,Au:0.33333333|Li:0.33333333|S:0.33333333,LiAuS,mp-29829,70,Orthorhombic,-5.935685356485719,0.29401723820390796,13.409221559675894,1,0.0,1.5804,True,True,16.0,26.0,33.0,17.0,0.26666666666666666,extrapolative,0.6935483870967742,0.4838709677419355,0.9193548387096774,0.9193548387096774
21,Li:0.25000000|Nd:0.05555556|P:0.13888889|S:0.55555556,Li9Nd2(PS4)5,mp-1223032,15,Monoclinic,-5.959116793914154,0.14365325288770306,10.755091776226454,1,0.0,2.6503000000000005,False,False,22.0,25.0,30.0,8.0,0.13333333333333333,unflagged,0.6774193548387096,0.03225806451612903,0.6935483870967742,0.6935483870967742
22,Ge:0.12500000|Li:0.25000000|Pb:0.12500000|S:0.50000000,Li2GePbS4,mp-19896,121,Tetragonal,-5.971734927486074,0.19657558620255486,9.135780777506577,1,0.0,2.2649000000000004,True,True,20.5,24.0,31.0,10.5,0.06666666666666667,unflagged,0.6612903225806451,0.1774193548387097,0.6129032258064516,0.6129032258064516
23,Li:0.17543860|P:0.14035088|S:0.56140351|Zn:0.12280702,Li10Zn7(PS4)8,mp-1147627,1,Triclinic,-5.985509481015381,0.17794890120547285,2.45859381899949,3,0.0051426498684215,2.6864000000000003,False,False,22.5,26.0,33.5,11.0,0.13333333333333333,unflagged,0.6451612903225806,0.12903225806451613,0.04838709677419355,0.12903225806451613
24,Dy:0.25000000|Li:0.25000000|S:0.50000000,LiDyS2,mp-15789,166,Trigonal,-5.9866892618630265,0.3557491559639303,12.625063424858133,2,0.0,1.9741999999999995,True,True,20.0,25.0,33.5,13.5,0.2,extrapolative,0.6290322580645161,0.6451612903225806,0.8064516129032258,0.8064516129032258
25,Li:0.20000000|Rb:0.20000000|S:0.40000000|Zn:0.20000000,RbLiZnS2,mp-1219554,119,Tetragonal,-6.006456162359532,0.38033690548374793,11.158408009531561,1,0.0,2.4519,False,False,19.5,26.0,34.5,15.0,0.06666666666666667,unflagged,0.6129032258064516,0.7419354838709677,0.7096774193548387,0.7419354838709677
26,I:0.18181818|Li:0.45454545|S:0.27272727|Sb:0.09090909,Li5SbS3I2,mp-559814,58,Orthorhombic,-6.01690858725057,0.21052134736825404,6.217472029882716,1,0.0,2.5078999999999994,True,True,20.5,26.0,34.5,14.0,0.06666666666666667,unflagged,0.5967741935483871,0.22580645161290322,0.45161290322580644,0.45161290322580644
27,Li:0.33333333|Rb:0.33333333|S:0.33333333,RbLiS,mp-8751,129,Tetragonal,-6.037285009314683,0.31861086571292574,16.77832351481711,1,0.0,2.745,True,True,22.0,27.0,38.0,16.0,0.2,extrapolative,0.5806451612903226,0.5967741935483871,0.9838709677419355,0.9838709677419355
28,Cs:0.25000000|Li:0.12500000|Nb:0.12500000|S:0.50000000,Cs2LiNbS4,mp-573030,2,Triclinic,-6.051775637257147,0.3062698981567746,17.052131495761273,1,0.0,2.4582,True,True,22.0,25.0,35.0,13.0,0.06666666666666667,extrapolative,0.5645161290322581,0.5161290322580645,1.0,1.0
