label,formula,Family,ens_mean,ens_std,kind,sigma300_mS_cm
mp-557892,BaLi(BS2)3,unknown,-6.921656788114997,0.3003234087689125,mp,
mp-554076,BaLiBS3,unknown,-7.144577630582452,0.305593995360074,mp,
mp-573030,Cs2LiNbS4,unknown,-6.963877279424092,0.39638931207827216,mp,
mp-559238,CsLi2BS3,unknown,-6.712248689825718,0.4716024412485356,mp,
mp-6597,CsLiSO4,unknown,-9.349332512790607,0.5854112868332753,mp,
mp-6726,CsLiSO4,unknown,-8.672137741792401,0.4957255893581601,mp,
mp-1225887,CsLiZnS2,unknown,-5.562739948254438,0.27658913941128105,mp,
mp-1195085,K2LiC3(SN)3,unknown,-7.0524383611447234,0.38342351884417364,mp,
mp-8430,KLiS,unknown,-5.4688244236908075,0.4643672589933326,mp,
mp-722181,KLiS,unknown,-5.290110248808018,0.357618673752091,mp,
mp-6179,KLiSO4,unknown,-8.591323624577345,0.9297952014759732,mp,
mp-6318,KLiSO4,unknown,-9.702354825261109,0.7298248327519019,mp,
mp-6800,KLiSO4,unknown,-8.380653011745146,0.9103059977579462,mp,
mp-560614,KLiSO4,unknown,-10.57292649717859,0.8472834814376641,mp,
mp-774907,KLiZnS2,unknown,-5.374659246646872,0.5217818212187182,mp,
mp-14484,KNaLi2(SO4)2,unknown,-9.05664880486599,0.5632260709709934,mp,
mp-696128,Li10Ge(PS6)2,LGPS,-2.170915341398234,0.07425633783845263,mp,
mp-696138,Li10Ge(PS6)2,LGPS,-4.454522490289062,0.2777146776113604,mp,
mp-696129,Li10Si(PS6)2,LGPS,-2.43174361778301,0.12046752226439487,mp,
mp-720509,Li10Si(PS6)2,LGPS,-4.427406611628571,0.3652188434541744,mp,
mp-696123,Li10Sn(PS6)2,LGPS,-2.683031498718634,0.11116553789180515,mp,
mp-721236,Li10Sn(PS6)2,LGPS,-4.608623877205468,0.23016273392642617,mp,
mp-1147681,Li10Zn(PS4)4,unknown,-6.135299130391433,0.269700753856223,mp,
mp-1147684,Li10Zn(PS4)4,unknown,-6.134959927353731,0.26936063642459424,mp,
mp-1147685,Li10Zn(PS4)4,unknown,-6.136789989450655,0.2698892732824113,mp,
mp-1147686,Li10Zn(PS4)4,unknown,-5.926126416067261,0.27780706892423856,mp,
